"gse_study","num_patients","sample_names","instrument","type_seq","title"
"GSE231345",60,"GSM7265400","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265401","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265402","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265403","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265404","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265405","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265406","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265407","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265408","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265409","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265410","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265411","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265412","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265413","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265414","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265415","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265416","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265417","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
"GSE231345",60,"GSM7265418","NextSeq 2000","RNA-Seq","Predicting gene level sensitivity to JAK-STAT signaling perturbation using a mechanistic-to-machine learning framework"
